Mapa,Filas,Columnas,Cajas,Algoritmo,Heuristica,Exito,Motivo_Finalizacion,Costo_Movimientos,Empujes,Nodos_Expandidos,Frontera_Maxima,Tiempo_Segundos
mapa_default,10,15,2,BFS,,True,Solucion,77.0,17.0,30376,867,1.0858371999984229
mapa_default,10,15,2,DFS,,True,Solucion,1355.0,105.0,14193,557,0.14914449999923818
mapa_default,10,15,2,IDDFS,,False,Limite_Nodos,,,200000,21,0.8711389000000054
mapa_default,10,15,2,Greedy,h1,True,Solucion,103.0,21.0,1172,135,0.01090719999956491
mapa_default,10,15,2,Greedy,h2,True,Solucion,93.0,19.0,1894,570,0.02232939999885275
mapa_default,10,15,2,Greedy,h3_no_admisible,True,Solucion,103.0,21.0,1172,135,0.009084400000574533
mapa_default,10,15,2,Greedy,h4_corner,True,Solucion,103.0,21.0,1113,122,0.009912099998473423
mapa_default,10,15,2,Greedy,h5_h2_corner,True,Solucion,93.0,19.0,1420,404,0.02151629999934812
mapa_default,10,15,2,A*,h1,True,Solucion,77.0,17.0,30336,1239,0.3737293000012869
mapa_default,10,15,2,A*,h2,True,Solucion,77.0,17.0,29974,1684,0.39772070000071835
mapa_default,10,15,2,A*,h3_no_admisible,True,Solucion,77.0,17.0,30019,1625,0.5412106000003405
mapa_default,10,15,2,A*,h4_corner,True,Solucion,77.0,17.0,15619,854,0.15539500000159023
mapa_default,10,15,2,A*,h5_h2_corner,True,Solucion,77.0,17.0,15421,1042,0.1531288999995013
mapa_000,7,7,2,BFS,,True,Solucion,14.0,8.0,1330,271,0.006464500000220141
mapa_000,7,7,2,DFS,,True,Solucion,29.0,10.0,851,47,0.003249100000175531
mapa_000,7,7,2,IDDFS,,True,Solucion,14.0,8.0,22522,15,0.06481279999934486
mapa_000,7,7,2,Greedy,h1,True,Solucion,16.0,8.0,46,33,0.00035939999906986486
mapa_000,7,7,2,Greedy,h2,True,Solucion,14.0,8.0,25,32,0.00026930000058200676
mapa_000,7,7,2,Greedy,h3_no_admisible,True,Solucion,16.0,8.0,46,33,0.0003453999997873325
mapa_000,7,7,2,Greedy,h4_corner,True,Solucion,16.0,8.0,46,33,0.00037460000021383166
mapa_000,7,7,2,Greedy,h5_h2_corner,True,Solucion,14.0,8.0,24,31,0.0002911000010499265
mapa_000,7,7,2,A*,h1,True,Solucion,14.0,8.0,437,229,0.004282100000637001
mapa_000,7,7,2,A*,h2,True,Solucion,14.0,8.0,288,221,0.0028212999986862997
mapa_000,7,7,2,A*,h3_no_admisible,True,Solucion,14.0,8.0,187,113,0.0025311999997938983
mapa_000,7,7,2,A*,h4_corner,True,Solucion,14.0,8.0,367,173,0.0033416999995097285
mapa_000,7,7,2,A*,h5_h2_corner,True,Solucion,14.0,8.0,246,180,0.0027428000012150733
mapa_001,7,7,2,BFS,,True,Solucion,15.0,8.0,3061,489,0.015498799999477342
mapa_001,7,7,2,DFS,,True,Solucion,85.0,20.0,577,82,0.0025497999995423015
mapa_001,7,7,2,IDDFS,,False,Limite_Nodos,,,200000,15,0.5593012999997882
