selection,crossover,mutation,survival,error,generations,seconds
ranking,one_point,gene,additive,0.11923420367921447,5000,66.33544893190265
ranking,one_point,gene,exclusive,0.13122715229203402,5000,64.96984553616494
ranking,one_point,multigene,additive,0.09980034985358177,5000,69.00799234211445
ranking,one_point,multigene,exclusive,0.10356764147484504,5000,71.10333156958222
ranking,one_point,non_uniform,additive,0.09001165004686097,5000,78.63718758802861
ranking,one_point,non_uniform,exclusive,0.10436200978838997,5000,76.6164854541421
ranking,one_point,triangle,additive,0.08712483331500333,5000,116.83260216005147
ranking,one_point,triangle,exclusive,0.10153353510055274,5000,115.01282164826989
ranking,two_point,gene,additive,0.10586314676159017,5000,76.89942656178027
ranking,two_point,gene,exclusive,0.12535693816003238,5000,75.5928880404681
ranking,two_point,multigene,additive,0.09820041962718584,5000,80.24845907930285
ranking,two_point,multigene,exclusive,0.10451694504911724,5000,79.18863135762513
ranking,two_point,non_uniform,additive,0.09348944049594214,5000,80.57318793050945
ranking,two_point,non_uniform,exclusive,0.10071320548435996,5000,79.39071389194578
ranking,two_point,triangle,additive,0.08354756250079567,5000,107.81373165454715
ranking,two_point,triangle,exclusive,0.09809213007422737,5000,104.46005126554519
ranking,uniform,gene,additive,0.10176644399169706,5000,67.67875474411994
ranking,uniform,gene,exclusive,0.11419114489924206,5000,66.73413047194481
ranking,uniform,multigene,additive,0.09195176659906285,5000,70.77559275645763
ranking,uniform,multigene,exclusive,0.09178010350241832,5000,69.78358792420477
ranking,uniform,non_uniform,additive,0.08241603550545631,5000,77.62701898720115
ranking,uniform,non_uniform,exclusive,0.09104210156191397,5000,79.09449459519237
ranking,uniform,triangle,additive,0.07717829137759458,5000,118.74238792713732
ranking,uniform,triangle,exclusive,0.10405790697344486,5000,117.72549095842987
ranking,region,gene,additive,0.10512520000128797,5000,76.55805301852524
ranking,region,gene,exclusive,0.11006207068068477,5000,71.99858438037336
ranking,region,multigene,additive,0.08965498088586628,5000,76.27659670263529
ranking,region,multigene,exclusive,0.103546232000922,5000,75.08307536505163
ranking,region,non_uniform,additive,0.09350499758782013,5000,76.70058805309236
ranking,region,non_uniform,exclusive,0.09995826354490772,5000,75.6635902300477
ranking,region,triangle,additive,0.0762772486764898,5000,111.47542033623904
ranking,region,triangle,exclusive,0.10652809393519763,5000,110.40182209666818
tournament_deterministic,one_point,gene,additive,0.10217979949395897,5000,69.73702136334032
tournament_deterministic,one_point,gene,exclusive,0.11354418862864699,5000,68.81858876068145
tournament_deterministic,one_point,multigene,additive,0.09200472152767415,5000,72.52277045883238
tournament_deterministic,one_point,multigene,exclusive,0.08727661610356491,5000,71.42563011031598
tournament_deterministic,one_point,non_uniform,additive,0.08289880475806655,5000,72.79843977838755
tournament_deterministic,one_point,non_uniform,exclusive,0.08738268751291021,5000,72.0662801116705
tournament_deterministic,one_point,triangle,additive,0.08410478238677968,5000,107.8455010317266
tournament_deterministic,one_point,triangle,exclusive,0.0830824862833289,5000,106.73638472240418
tournament_deterministic,two_point,gene,additive,0.10484601540171257,5000,71.87235085479915
tournament_deterministic,two_point,gene,exclusive,0.09223172444843909,5000,71.01977716200054
tournament_deterministic,two_point,multigene,additive,0.07982910520279046,5000,74.62852468714118
tournament_deterministic,two_point,multigene,exclusive,0.08497120593812726,5000,73.6693642809987
tournament_deterministic,two_point,non_uniform,additive,0.07600721562721512,5000,75.07801871094853
tournament_deterministic,two_point,non_uniform,exclusive,0.08117494133005664,5000,77.01640399731696
tournament_deterministic,two_point,triangle,additive,0.06704408578966672,5000,109.73117937706411
tournament_deterministic,two_point,triangle,exclusive,0.06855813391073966,5000,108.99750376772135
tournament_deterministic,uniform,gene,additive,0.10538394290130418,5000,71.7999335071072
tournament_deterministic,uniform,gene,exclusive,0.09933614575841075,5000,71.1104330951348
